"Snippet_id","Post_id"
"819","402"
"820","21"
"821","527"
"822","990"
"823","982"
"824","808"
"825","919"
"826","765"
"827","959"
"828","468"
"829","475"
"830","642"
"831","1032"
"832","972"
"833","1038"
"834","783"
"835","203"
"836","137"
"837","509"
"838","613"
"839","746"
"840","30"
"841","530"
"842","693"
"843","84"
"844","800"
"845","646"
"846","943"
"847","715"
"848","855"
"849","945"
"850","272"
"851","676"
"852","958"
"853","123"
"854","921"
"855","985"
"856","158"
"857","88"
"858","340"
"859","955"
"860","902"
"861","468"
"862","378"
"863","407"
"864","1031"
"865","288"
"866","831"
"867","780"
"868","472"
"869","505"
"870","73"
"871","1113"
"872","861"
"873","337"
"874","986"
"875","376"
"876","258"
"877","48"
"878","959"
"879","622"
"880","15"
"881","769"
"882","1075"
"883","365"
"884","1100"
"885","688"
"886","429"
"887","159"
"888","532"
"889","993"
"890","474"
"892","616"
"893","516"
"894","868"
"895","280"
"896","134"
"897","744"
"898","1102"
"899","666"
"900","188"
"901","470"
"902","648"
"903","260"
"904","170"
"905","740"
"906","529"
"907","950"
"908","207"
"909","250"
"910","1063"
"911","1060"
"912","62"
"913","113"
"914","1127"
"915","892"
"916","1044"
"917","683"
"918","1010"
"919","700"
"920","808"
"921","72"
"922","231"
"923","1098"
"924","633"
"925","437"
"926","763"
"927","835"
"928","897"
"929","376"
"930","958"
"931","747"
"932","186"
"933","745"
"934","356"
"935","27"
"936","6"
"937","750"
"938","184"
"939","361"
"940","217"
"941","977"
"942","612"
"943","540"
"944","957"
"945","398"
"946","837"
"947","888"
"948","1009"
"949","486"
"950","158"
"951","1031"
"952","636"
"953","409"
"954","123"
"955","16"
"956","1086"
"957","373"
"958","997"
"959","707"
"960","738"
"961","154"
"962","1075"
"963","810"
"964","703"
"965","552"
"966","963"
"967","143"
"968","529"
"969","1029"
"970","842"
"971","62"
"972","493"
"973","1057"
"974","717"
"975","524"
"977","15"
"978","959"
"979","111"
"980","346"
"981","754"
"982","374"
"983","1117"
"984","308"
"985","305"
"986","273"
"987","136"
"988","812"
"989","1003"
"990","85"
"991","391"
"992","448"
"993","214"
"994","631"
"995","218"
"996","76"
"997","652"
"998","941"
"999","641"
"1000","800"
