"User_id","Session_id","Time_begin","Time_end"
"28","138","2018-06-05-01:30","2019-05-15-09:31"
"28","140","2018-11-19-09:30","2019-04-18-08:30"
"28","170","2018-06-24-10:30","2019-12-29-03:31"
"28","181","2018-08-02-05:31","2019-08-09-12:31"
"28","196","2018-12-08-08:31","2019-04-20-09:30"
"29","149","2018-07-13-04:31","2019-09-23-04:30"
"29","173","2018-10-30-04:31","2019-08-15-03:31"
"30","108","2018-04-28-11:30","2019-10-15-11:31"
"30","117","2018-11-12-01:30","2019-07-24-06:31"
"30","119","2018-03-04-01:31","2019-11-29-02:30"
"30","127","2018-05-25-11:31","2019-08-24-07:31"
"30","183","2018-05-27-10:31","2019-12-29-06:31"
"30","184","2018-01-13-09:31","2019-12-17-11:31"
"31","109","2018-01-30-04:31","2019-03-24-01:31"
"31","124","2018-07-18-03:31","2019-07-24-01:31"
"31","166","2018-01-30-03:31","2019-03-22-04:31"
"31","180","2018-01-06-01:31","2019-08-09-04:31"
"32","102","2018-01-21-04:31","2019-02-17-11:28"
"32","106","2018-08-13-05:31","2019-09-02-04:30"
"32","141","2018-04-29-07:30","2019-12-22-09:31"
"32","142","2018-10-20-09:31","2019-04-30-08:30"
"32","156","2018-02-01-01:28","2019-01-16-09:31"
"32","185","2018-01-05-02:31","2019-01-28-09:31"
"33","133","2018-03-11-12:31","2019-01-11-05:31"
"33","140","2018-03-08-04:31","2019-10-17-08:31"
"33","149","2018-01-25-10:31","2019-03-30-05:31"
"33","150","2018-11-26-04:30","2019-03-13-08:31"
"34","105","2018-11-03-11:30","2019-01-26-06:31"
"34","119","2018-05-13-08:31","2019-05-02-12:31"
"34","133","2018-09-09-04:30","2019-07-05-12:31"
"34","156","2018-04-13-06:30","2019-12-01-10:31"
"35","157","2018-02-18-11:28","2019-02-17-01:28"
"35","198","2018-02-14-10:28","2019-06-27-08:30"
"36","136","2018-02-10-02:28","2019-05-12-09:31"
"36","143","2018-12-25-10:31","2019-01-17-12:31"
"36","166","2018-03-14-03:31","2019-07-25-04:31"
"37","122","2018-01-30-09:31","2019-02-09-11:28"
"37","136","2018-07-13-01:31","2019-09-19-12:30"
"37","142","2018-05-19-01:31","2019-10-17-08:31"
"37","164","2018-12-06-09:31","2019-01-28-05:31"
"37","168","2018-01-25-08:31","2019-11-17-01:30"
"37","169","2018-08-04-12:31","2019-06-07-08:30"
"37","183","2018-09-09-06:30","2019-10-29-01:31"
"38","178","2018-08-12-03:31","2019-06-01-12:30"
"38","186","2018-10-13-12:31","2019-12-15-12:31"
"39","179","2018-08-01-12:31","2019-04-27-07:30"
"39","195","2018-03-04-08:31","2019-02-26-05:28"
"39","199","2018-01-10-05:31","2019-04-09-05:30"
"40","123","2018-10-13-04:31","2019-08-26-09:31"
"40","147","2018-06-28-05:30","2019-11-24-11:30"
"40","162","2018-01-23-07:31","2019-03-24-03:31"
"40","171","2018-09-28-08:30","2019-09-17-01:30"
"40","174","2018-04-14-01:30","2019-12-29-01:31"
"41","102","2018-11-03-02:30","2019-08-10-08:31"
"41","145","2018-01-01-03:31","2019-02-11-01:28"
"41","155","2018-03-11-11:31","2019-07-10-09:31"
"42","100","2018-09-13-04:30","2019-07-01-02:31"
"42","139","2018-12-16-01:31","2019-02-27-11:28"
"42","169","2018-02-07-04:28","2019-01-29-03:31"
"42","178","2018-04-26-10:30","2019-03-21-12:31"
"42","184","2018-05-06-01:31","2019-11-13-03:30"
"42","185","2018-12-22-07:31","2019-06-27-05:30"
"43","110","2018-03-03-08:31","2019-09-21-05:30"
"43","134","2018-05-08-02:31","2019-06-10-09:30"
"43","149","2018-06-29-08:30","2019-03-05-08:31"
"43","160","2018-10-15-03:31","2019-10-16-04:31"
"43","165","2018-11-13-11:30","2019-05-20-12:31"
"43","188","2018-06-23-12:30","2019-03-09-07:31"
"43","192","2018-10-07-04:31","2019-10-24-01:31"
"44","113","2018-07-14-07:31","2019-03-01-06:31"
"44","118","2018-12-10-08:31","2019-10-26-09:31"
"44","137","2018-10-25-12:31","2019-09-17-03:30"
"44","157","2018-03-07-05:31","2019-10-30-10:31"
"44","159","2018-12-01-08:31","2019-06-01-09:30"
"44","172","2018-02-20-02:28","2019-02-20-12:28"
"44","195","2018-12-21-09:31","2019-05-10-03:31"
"44","199","2018-09-13-11:30","2019-09-13-05:30"
"45","102","2018-03-06-03:31","2019-04-26-09:30"
"45","112","2018-07-25-10:31","2019-10-02-12:31"
"45","138","2018-10-06-11:31","2019-10-29-10:31"
"45","184","2018-02-17-07:28","2019-02-15-07:28"
"45","193","2018-11-20-05:30","2019-10-23-03:31"
"46","102","2018-08-30-09:31","2019-12-20-08:31"
"46","106","2018-09-04-12:30","2019-11-18-03:30"
"46","109","2018-05-23-04:31","2019-11-21-03:30"
"46","172","2018-07-17-03:31","2019-07-03-06:31"
"46","185","2018-03-17-07:31","2019-03-29-02:31"
"47","101","2018-06-11-12:30","2019-04-26-02:30"
"47","130","2018-12-22-02:31","2019-05-16-05:31"
"47","163","2018-06-08-12:30","2019-03-10-03:31"
"47","169","2018-02-27-09:28","2019-09-20-12:30"
"47","175","2018-11-04-08:30","2019-07-21-11:31"
"47","194","2018-11-16-04:30","2019-02-04-01:28"
"48","103","2018-10-29-06:31","2019-02-13-10:28"
"48","113","2018-06-07-11:30","2019-03-19-11:31"
"49","124","2018-05-23-02:31","2019-04-11-09:30"
"49","130","2018-04-26-01:30","2019-12-08-06:31"
"49","136","2018-06-02-01:30","2019-08-30-11:31"
"49","159","2018-02-02-01:28","2019-04-16-08:30"
"49","171","2018-12-23-02:31","2019-04-23-10:30"
"50","115","2018-07-17-11:31","2019-04-19-12:30"
"50","116","2018-02-10-03:28","2019-03-27-09:31"
"50","140","2018-01-16-12:31","2019-08-20-01:31"
"50","151","2018-03-21-03:31","2019-09-12-01:30"
"50","168","2018-01-18-02:31","2019-08-27-01:31"
"51","107","2018-03-20-12:31","2019-02-12-11:28"
"51","128","2018-11-29-04:30","2019-02-28-05:28"
"51","134","2018-05-11-08:31","2019-02-08-11:28"
"51","158","2018-11-30-07:30","2019-03-04-04:31"
"52","132","2018-12-28-11:31","2019-06-20-07:30"
"52","143","2018-07-01-05:31","2019-04-16-04:30"
"52","157","2018-03-12-09:31","2019-11-10-08:30"
"52","158","2018-03-09-04:31","2019-12-15-05:31"
"52","162","2018-09-24-01:30","2019-07-15-09:31"
"52","172","2018-02-24-08:28","2019-01-06-06:31"
"52","183","2018-04-21-03:30","2019-11-04-10:30"
"52","185","2018-05-12-04:31","2019-12-12-06:31"
"53","110","2018-06-17-07:30","2019-07-22-02:31"
"53","167","2018-02-10-02:28","2019-08-03-03:31"
"53","187","2018-06-27-03:30","2019-11-24-10:30"
"53","190","2018-05-03-03:31","2019-11-03-05:30"
"54","110","2018-10-01-03:31","2019-12-09-03:31"
"54","143","2018-01-17-10:31","2019-02-05-12:28"
"54","150","2018-05-27-03:31","2019-06-30-04:30"
"54","175","2018-08-12-12:31","2019-04-19-05:30"
"54","179","2018-05-26-06:31","2019-11-26-07:30"
"55","142","2018-05-27-12:31","2019-02-13-10:28"
"55","159","2018-02-10-05:28","2019-02-17-04:28"
"55","164","2018-10-18-01:31","2019-06-22-12:30"
"55","168","2018-03-06-08:31","2019-11-13-12:30"
"55","186","2018-08-13-08:31","2019-11-12-03:30"
"56","102","2018-10-05-08:31","2019-12-27-01:31"
"56","123","2018-01-16-11:31","2019-07-09-07:31"
"56","136","2018-06-04-04:30","2019-09-10-02:30"
"57","128","2018-12-17-03:31","2019-02-07-09:28"
"57","154","2018-12-19-12:31","2019-12-11-09:31"
"57","156","2018-02-19-11:28","2019-11-25-07:30"
"57","185","2018-05-16-02:31","2019-01-22-03:31"
"58","103","2018-06-24-05:30","2019-03-16-06:31"
"58","106","2018-05-23-03:31","2019-11-03-04:30"
"58","108","2018-07-20-04:31","2019-10-02-07:31"
"58","117","2018-10-22-02:31","2019-01-08-01:31"
"58","135","2018-08-09-10:31","2019-10-02-11:31"
"58","140","2018-08-20-02:31","2019-03-12-07:31"
"58","187","2018-02-16-06:28","2019-06-18-08:30"
"59","106","2018-07-17-08:31","2019-08-19-12:31"
"59","124","2018-12-08-05:31","2019-10-31-03:31"
"59","131","2018-06-26-06:30","2019-02-27-03:28"
"59","147","2018-10-03-09:31","2019-08-27-08:31"
"59","160","2018-08-26-12:31","2019-01-24-11:31"
"59","166","2018-09-27-04:30","2019-02-01-03:28"
"60","136","2018-08-03-07:31","2019-09-30-07:30"
"61","109","2018-02-12-07:28","2019-02-27-12:28"
"61","125","2018-01-16-10:31","2019-08-11-02:31"
"61","153","2018-06-23-07:30","2019-05-18-05:31"
"61","164","2018-01-04-09:31","2019-01-22-01:31"
"62","112","2018-12-25-03:31","2019-02-22-06:28"
"62","114","2018-02-20-12:28","2019-12-19-11:31"
"62","122","2018-10-09-05:31","2019-02-02-03:28"
"62","187","2018-06-16-12:30","2019-05-26-03:31"
"62","188","2018-04-01-12:30","2019-04-08-09:30"
"62","192","2018-12-02-07:31","2019-08-23-01:31"
"63","105","2018-11-02-06:30","2019-02-19-11:28"
"63","107","2018-11-26-06:30","2019-09-14-10:30"
"63","110","2018-10-22-01:31","2019-10-27-03:31"
"63","119","2018-02-08-11:28","2019-10-17-11:31"
"63","126","2018-06-02-11:30","2019-07-28-08:31"
"63","136","2018-05-23-04:31","2019-07-17-12:31"
"63","144","2018-11-28-08:30","2019-01-30-04:31"
"63","164","2018-03-07-04:31","2019-06-16-11:30"
"64","111","2018-02-26-03:28","2019-03-21-12:31"
"64","135","2018-11-03-04:30","2019-10-10-08:31"
"64","148","2018-06-28-05:30","2019-08-08-01:31"
"64","174","2018-08-10-10:31","2019-03-26-10:31"
"64","184","2018-02-09-01:28","2019-12-19-06:31"
"64","186","2018-09-15-04:30","2019-07-29-12:31"
"65","113","2018-07-07-03:31","2019-08-14-11:31"
"65","179","2018-08-16-05:31","2019-07-06-08:31"
"66","119","2018-05-18-01:31","2019-11-26-08:30"
"66","175","2018-04-06-10:30","2019-04-10-08:30"
"67","124","2018-04-24-10:30","2019-03-28-02:31"
"67","186","2018-06-10-06:30","2019-01-05-08:31"
"68","106","2018-12-06-04:31","2019-10-11-12:31"
"68","119","2018-01-17-07:31","2019-08-09-03:31"
"68","129","2018-12-14-07:31","2019-07-07-02:31"
"68","137","2018-10-21-03:31","2019-03-01-04:31"
"68","138","2018-06-27-03:30","2019-02-16-11:28"
"68","164","2018-11-20-08:30","2019-06-08-09:30"
"68","185","2018-12-11-11:31","2019-10-19-10:31"
"69","120","2018-09-21-03:30","2019-11-14-11:30"
"69","121","2018-11-10-07:30","2019-06-21-05:30"
"69","137","2018-11-18-01:30","2019-07-17-01:31"
"69","141","2018-01-05-02:31","2019-09-21-12:30"
"69","190","2018-12-10-11:31","2019-03-19-02:31"
"69","194","2018-05-02-06:31","2019-10-17-07:31"
"69","195","2018-03-08-01:31","2019-02-07-12:28"
"70","112","2018-08-03-04:31","2019-12-22-06:31"
"70","118","2018-05-20-02:31","2019-07-06-02:31"
"70","135","2018-11-04-09:30","2019-01-06-03:31"
"70","151","2018-12-12-01:31","2019-11-15-12:30"
"71","107","2018-12-09-07:31","2019-10-17-05:31"
"71","162","2018-07-25-05:31","2019-04-30-05:30"
"71","169","2018-04-24-05:30","2019-04-29-02:30"
"71","172","2018-09-25-06:30","2019-12-29-06:31"
"72","128","2018-10-03-09:31","2019-03-08-04:31"
"72","131","2018-12-01-07:31","2019-03-22-09:31"
"72","136","2018-01-20-03:31","2019-08-26-07:31"
"72","161","2018-08-13-08:31","2019-04-02-12:30"
"72","195","2018-09-03-06:30","2019-03-01-02:31"
"73","114","2018-07-12-08:31","2019-07-30-11:31"
"73","116","2018-04-21-03:30","2019-10-04-09:31"
"73","142","2018-01-27-03:31","2019-06-07-08:30"
"73","152","2018-09-27-03:30","2019-10-06-12:31"
"73","156","2018-04-22-09:30","2019-11-05-06:30"
"73","170","2018-03-18-03:31","2019-11-25-06:30"
"73","173","2018-07-12-09:31","2019-09-27-06:30"
"74","121","2018-08-09-08:31","2019-09-28-04:30"
"74","162","2018-10-19-11:31","2019-04-01-09:30"
"74","189","2018-03-15-10:31","2019-07-02-05:31"
"75","107","2018-03-25-05:31","2019-09-11-01:30"
"75","121","2018-06-15-08:30","2019-01-01-11:31"
"75","151","2018-02-09-06:28","2019-10-31-10:31"
"76","118","2018-05-31-04:31","2019-01-05-04:31"
"76","119","2018-08-11-08:31","2019-01-14-01:31"
"76","124","2018-09-12-05:30","2019-08-23-05:31"
"76","144","2018-12-09-02:31","2019-12-11-05:31"
"76","154","2018-01-06-03:31","2019-09-28-05:30"
"76","166","2018-12-18-01:31","2019-05-02-04:31"
"76","175","2018-03-10-12:31","2019-10-17-04:31"
"77","122","2018-10-29-05:31","2019-05-10-12:31"
"77","139","2018-05-18-05:31","2019-01-09-08:31"
"78","109","2018-02-13-07:28","2019-09-16-12:30"
"78","121","2018-04-12-07:30","2019-11-01-09:30"
"78","139","2018-08-26-05:31","2019-06-22-05:30"
"78","140","2018-09-18-10:30","2019-10-19-11:31"
"78","177","2018-04-30-11:30","2019-07-22-02:31"
"78","196","2018-07-24-06:31","2019-02-10-02:28"
"79","140","2018-05-31-01:31","2019-04-19-12:30"
"79","152","2018-05-29-05:31","2019-08-13-02:31"
"79","153","2018-02-04-06:28","2019-12-22-02:31"
"79","160","2018-06-16-04:30","2019-10-16-04:31"
"79","197","2018-01-05-04:31","2019-01-06-02:31"
"80","122","2018-09-17-10:30","2019-12-29-06:31"
"80","130","2018-03-31-06:31","2019-10-01-07:31"
"80","150","2018-04-05-05:30","2019-08-27-08:31"
"80","151","2018-09-14-12:30","2019-09-04-10:30"
"80","154","2018-11-11-10:30","2019-08-22-11:31"
"80","158","2018-05-24-01:31","2019-08-26-01:31"
"80","164","2018-07-07-05:31","2019-01-04-03:31"
"80","174","2018-12-30-10:31","2019-04-03-01:30"
"80","194","2018-01-18-03:31","2019-01-15-09:31"
"81","158","2018-06-08-11:30","2019-02-05-06:28"
"81","190","2018-08-01-12:31","2019-12-04-04:31"
"81","193","2018-09-08-05:30","2019-08-31-08:31"
"82","108","2018-04-04-05:30","2019-02-12-12:28"
"82","153","2018-08-24-12:31","2019-02-22-03:28"
"82","162","2018-10-02-02:31","2019-09-29-08:30"
"82","164","2018-09-18-07:30","2019-01-03-11:31"
"82","168","2018-11-21-10:30","2019-02-27-05:28"
"82","174","2018-05-16-04:31","2019-11-14-11:30"
"82","175","2018-06-09-06:30","2019-10-27-09:31"
"82","178","2018-07-18-10:31","2019-04-26-01:30"
"82","183","2018-08-26-12:31","2019-12-31-01:31"
"83","136","2018-07-27-03:31","2019-07-17-02:31"
"83","162","2018-11-21-09:30","2019-01-16-08:31"
"84","108","2018-05-01-05:31","2019-10-01-05:31"
"84","121","2018-03-16-06:31","2019-05-14-08:31"
"84","171","2018-07-30-02:31","2019-12-16-03:31"
"85","124","2018-01-06-02:31","2019-11-09-08:30"
"85","161","2018-03-29-12:31","2019-07-11-12:31"
"85","165","2018-06-30-03:30","2019-12-22-04:31"
"86","112","2018-08-16-01:31","2019-03-04-07:31"
"86","120","2018-11-29-04:30","2019-06-12-09:30"
"86","121","2018-03-28-03:31","2019-09-12-07:30"
"86","157","2018-03-17-09:31","2019-01-13-01:31"
"86","184","2018-07-25-01:31","2019-04-30-11:30"
"86","189","2018-12-07-03:31","2019-03-19-10:31"
"86","195","2018-03-05-04:31","2019-08-13-07:31"
"86","198","2018-04-01-01:30","2019-04-15-07:30"
"86","199","2018-02-25-10:28","2019-10-25-06:31"
"87","100","2018-08-03-06:31","2019-11-20-12:30"
"87","129","2018-11-30-05:30","2019-01-17-01:31"
"87","165","2018-11-18-08:30","2019-10-14-03:31"
"87","173","2018-01-06-09:31","2019-05-23-08:31"
"87","178","2018-09-04-06:30","2019-12-02-09:31"
"87","196","2018-09-24-12:30","2019-06-07-10:30"
"88","110","2018-10-08-03:31","2019-07-07-04:31"
"88","113","2018-08-04-01:31","2019-09-22-12:30"
"88","122","2018-05-03-05:31","2019-02-28-04:28"
"88","154","2018-06-28-04:30","2019-10-16-09:31"
"88","171","2018-06-06-04:30","2019-03-09-03:31"
"88","193","2018-09-12-01:30","2019-08-10-02:31"
"89","116","2018-01-14-01:31","2019-07-09-10:31"
"89","118","2018-07-23-10:31","2019-10-06-05:31"
"89","144","2018-03-11-12:31","2019-07-12-08:31"
"89","163","2018-03-25-10:31","2019-10-04-04:31"
"89","168","2018-05-11-10:31","2019-07-04-11:31"
"89","174","2018-09-28-07:30","2019-09-22-07:30"
"89","183","2018-01-11-02:31","2019-09-04-02:30"
"89","196","2018-05-29-12:31","2019-09-02-01:30"
"89","198","2018-12-09-02:31","2019-07-07-04:31"
"90","110","2018-03-31-03:31","2019-10-20-07:31"
"90","129","2018-12-14-12:31","2019-11-23-12:30"
"90","133","2018-11-07-07:30","2019-05-31-12:31"
"90","182","2018-11-08-09:30","2019-09-27-02:30"
"90","194","2018-03-21-09:31","2019-10-18-04:31"
"91","162","2018-10-29-07:31","2019-05-08-09:31"
"91","193","2018-03-26-12:31","2019-07-08-12:31"
"92","114","2018-04-24-11:30","2019-11-25-12:30"
"92","136","2018-08-28-10:31","2019-10-05-04:31"
"92","142","2018-07-07-02:31","2019-09-29-09:30"
"92","147","2018-05-25-11:31","2019-12-14-06:31"
"92","175","2018-04-07-11:30","2019-08-12-07:31"
"92","189","2018-04-25-12:30","2019-03-19-08:31"
"92","190","2018-10-07-05:31","2019-06-03-11:30"
"92","195","2018-03-15-04:31","2019-11-01-02:30"
"92","198","2018-12-26-04:31","2019-06-18-04:30"
"93","105","2018-09-15-09:30","2019-07-02-10:31"
"93","118","2018-12-30-02:31","2019-08-01-05:31"
"93","134","2018-05-22-08:31","2019-10-17-11:31"
"93","154","2018-05-09-05:31","2019-02-25-05:28"
"93","184","2018-01-10-04:31","2019-03-14-04:31"
"93","186","2018-07-20-10:31","2019-06-29-05:30"
"93","194","2018-08-01-05:31","2019-04-10-04:30"
"94","109","2018-01-05-05:31","2019-02-10-08:28"
"94","131","2018-01-25-05:31","2019-02-09-06:28"
"94","157","2018-08-30-07:31","2019-12-28-10:31"
"94","161","2018-01-21-07:31","2019-03-06-02:31"
"94","177","2018-07-07-11:31","2019-05-27-03:31"
"94","181","2018-01-14-02:31","2019-04-11-11:30"
"94","195","2018-07-22-11:31","2019-04-02-06:30"
"95","113","2018-03-09-09:31","2019-03-20-10:31"
"95","114","2018-07-28-05:31","2019-05-07-07:31"
"95","118","2018-01-06-09:31","2019-10-28-03:31"
"95","145","2018-01-22-11:31","2019-02-01-03:28"
"95","148","2018-08-20-12:31","2019-09-18-11:30"
"95","161","2018-11-15-04:30","2019-03-14-04:31"
"95","168","2018-06-23-01:30","2019-12-14-11:31"
"95","183","2018-08-10-11:31","2019-09-05-03:30"
"95","196","2018-05-05-06:31","2019-10-31-10:31"
"96","122","2018-05-08-10:31","2019-11-28-05:30"
"96","146","2018-05-24-08:31","2019-11-12-03:30"
"96","151","2018-01-04-12:31","2019-08-22-05:31"
"96","175","2018-03-02-11:31","2019-04-23-07:30"
"96","182","2018-06-20-11:30","2019-09-04-07:30"
"97","112","2018-10-26-05:31","2019-05-30-09:31"
"97","138","2018-07-26-02:31","2019-08-28-04:31"
"97","150","2018-10-30-05:31","2019-05-23-08:31"
"97","157","2018-02-21-03:28","2019-11-13-08:30"
"97","164","2018-02-05-02:28","2019-10-09-10:31"
"97","189","2018-05-25-02:31","2019-11-25-03:30"
"98","109","2018-06-21-12:30","2019-10-27-07:31"
"98","161","2018-06-09-11:30","2019-10-29-01:31"
"98","185","2018-03-16-04:31","2019-11-07-09:30"
"99","102","2018-05-25-01:31","2019-07-09-11:31"
"99","128","2018-08-22-07:31","2019-09-07-06:30"
"99","145","2018-09-08-12:30","2019-03-23-06:31"
"99","146","2018-05-26-02:31","2019-09-14-02:30"
"99","152","2018-02-15-09:28","2019-12-14-07:31"
"99","156","2018-12-14-08:31","2019-08-25-03:31"
"99","166","2018-03-04-09:31","2019-10-29-05:31"
"99","169","2018-05-30-01:31","2019-04-29-11:30"
